Country,Region/State,City,Zip/Postal Code From,Zip/Postal Code To,Weight>,Weight<=,Shipping Price,Shipping Method
GBR,*,*,GY,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS1,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS2,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS3,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS4,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS5,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS6,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS7,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS8,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,HS9,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM1,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM2,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM3,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM4,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM5,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM6,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM7,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM8,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IM9,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV1,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV10,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV11,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV12,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV13,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV14,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV15,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV16,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV17,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV18,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV19,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV2,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV20,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV21,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV22,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV23,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV24,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV25,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV26,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV27,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV28,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV29,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV3,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV30,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV31,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV32,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV33,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV34,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV35,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV36,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV37,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV38,,0,0,9.99,DPD 2 Day Delivery
GBR,*,*,IV39,,0,0,9.99,DPD 2 Day Delivery
